Original Integer     irradix Representation         Interpreted as Binary          isPrime    Prime Comparison     Binary Expansion (%)
------------------------------------------------------------------------------------------------------------------------------------
1                    1                              1                              False      0                    100.00              
2                    10                             2                              True       3                    100.00              
3                    11                             3                              True       3                    100.00              
4                    100                            4                              False      0                    100.00              
5                    110                            6                              False      2                    100.00              
6                    111                            7                              True       1                    100.00              
7                    1000                           8                              False      2                    133.33              
8                    1001                           9                              False      0                    100.00              
9                    1100                           12                             False      0                    100.00              
10                   1110                           14                             False      0                    100.00              
11                   1111                           15                             False      2                    100.00              
12                   10000                          16                             False      0                    125.00              
13                   10010                          18                             False      2                    125.00              
14                   10011                          19                             True       1                    125.00              
15                   11000                          24                             False      0                    125.00              
16                   11001                          25                             False      0                    100.00              
17                   11100                          28                             False      2                    100.00              
18                   11110                          30                             False      0                    100.00              
19                   11111                          31                             True       3                    100.00              
20                   100000                         32                             False      0                    120.00              
21                   100001                         33                             False      0                    120.00              
22                   100100                         36                             False      0                    120.00              
23                   100110                         38                             False      2                    120.00              
24                   100111                         39                             False      0                    120.00              
25                   110000                         48                             False      0                    120.00              
26                   110010                         50                             False      0                    120.00              
27                   110011                         51                             False      0                    120.00              
28                   111000                         56                             False      0                    120.00              
29                   111001                         57                             False      2                    120.00              
30                   111100                         60                             False      0                    120.00              
31                   111110                         62                             False      2                    120.00              
32                   111111                         63                             False      0                    100.00              
33                   1000000                        64                             False      0                    116.67              
34                   1000010                        66                             False      0                    116.67              
35                   1000011                        67                             True       1                    116.67              
36                   1001000                        72                             False      0                    116.67              
37                   1001001                        73                             True       3                    116.67              
38                   1001100                        76                             False      0                    116.67              
39                   1001110                        78                             False      0                    116.67              
40                   1001111                        79                             True       1                    116.67              
41                   1100000                        96                             False      2                    116.67              
42                   1100001                        97                             True       1                    116.67              
43                   1100100                        100                            False      2                    116.67              
44                   1100110                        102                            False      0                    116.67              
45                   1100111                        103                            True       1                    116.67              
46                   1110000                        112                            False      0                    116.67              
47                   1110010                        114                            False      2                    116.67              
48                   1110011                        115                            False      0                    116.67              
49                   1111000                        120                            False      0                    116.67              
50                   1111001                        121                            False      0                    116.67              
51                   1111100                        124                            False      0                    116.67              
52                   1111110                        126                            False      0                    116.67              
53                   1111111                        127                            True       3                    116.67              
54                   10000000                       128                            False      0                    133.33              
55                   10000001                       129                            False      0                    133.33              
56                   10000100                       132                            False      0                    133.33              
57                   10000110                       134                            False      0                    133.33              
58                   10000111                       135                            False      0                    133.33              
59                   10010000                       144                            False      2                    133.33              
60                   10010010                       146                            False      0                    133.33              
61                   10010011                       147                            False      2                    133.33              
62                   10011000                       152                            False      0                    133.33              
63                   10011001                       153                            False      0                    133.33              
64                   10011100                       156                            False      0                    114.29              
65                   10011110                       158                            False      0                    114.29              
66                   10011111                       159                            False      0                    114.29              
67                   11000000                       192                            False      2                    114.29              
68                   11000010                       194                            False      0                    114.29              
69                   11000011                       195                            False      0                    114.29              
70                   11001000                       200                            False      0                    114.29              
71                   11001001                       201                            False      2                    114.29              
72                   11001100                       204                            False      0                    114.29              
73                   11001110                       206                            False      2                    114.29              
74                   11001111                       207                            False      0                    114.29              
75                   11100000                       224                            False      0                    114.29              
76                   11100001                       225                            False      0                    114.29              
77                   11100100                       228                            False      0                    114.29              
78                   11100110                       230                            False      0                    114.29              
79                   11100111                       231                            False      2                    114.29              
80                   11110000                       240                            False      0                    114.29              
81                   11110010                       242                            False      0                    114.29              
82                   11110011                       243                            False      0                    114.29              
83                   11111000                       248                            False      2                    114.29              
84                   11111001                       249                            False      0                    114.29              
85                   11111100                       252                            False      0                    114.29              
86                   11111110                       254                            False      0                    114.29              
87                   11111111                       255                            False      0                    114.29              
88                   100000000                      256                            False      0                    128.57              
89                   100000010                      258                            False      2                    128.57              
90                   100000011                      259                            False      0                    128.57              
91                   100001000                      264                            False      0                    128.57              
92                   100001001                      265                            False      0                    128.57              
93                   100001100                      268                            False      0                    128.57              
94                   100001110                      270                            False      0                    128.57              
95                   100001111                      271                            True       1                    128.57              
96                   100100000                      288                            False      0                    128.57              
97                   100100001                      289                            False      2                    128.57              
98                   100100100                      292                            False      0                    128.57              
99                   100100110                      294                            False      0                    128.57              
100                  100100111                      295                            False      0                    128.57              
101                  100110000                      304                            False      2                    128.57              
102                  100110010                      306                            False      0                    128.57              
103                  100110011                      307                            True       3                    128.57              
104                  100111000                      312                            False      0                    128.57              
105                  100111001                      313                            True       1                    128.57              
106                  100111100                      316                            False      0                    128.57              
107                  100111110                      318                            False      2                    128.57              
108                  100111111                      319                            False      0                    128.57              
109                  110000000                      384                            False      2                    128.57              
110                  110000001                      385                            False      0                    128.57              
111                  110000100                      388                            False      0                    128.57              
112                  110000110                      390                            False      0                    128.57              
113                  110000111                      391                            False      2                    128.57              
114                  110010000                      400                            False      0                    128.57              
115                  110010010                      402                            False      0                    128.57              
116                  110010011                      403                            False      0                    128.57              
117                  110011000                      408                            False      0                    128.57              
118                  110011001                      409                            True       1                    128.57              
119                  110011100                      412                            False      0                    128.57              
120                  110011110                      414                            False      0                    128.57              
121                  110011111                      415                            False      0                    128.57              
122                  111000000                      448                            False      0                    128.57              
123                  111000010                      450                            False      0                    128.57              
124                  111000011                      451                            False      0                    128.57              
125                  111001000                      456                            False      0                    128.57              
126                  111001001                      457                            True       1                    128.57              
127                  111001100                      460                            False      2                    128.57              
128                  111001110                      462                            False      0                    112.50              
129                  111001111                      463                            True       1                    112.50              
130                  111100000                      480                            False      0                    112.50              
131                  111100001                      481                            False      2                    112.50              
132                  111100100                      484                            False      0                    112.50              
133                  111100110                      486                            False      0                    112.50              
134                  111100111                      487                            True       1                    112.50              
135                  111110000                      496                            False      0                    112.50              
136                  111110010                      498                            False      0                    112.50              
137                  111110011                      499                            True       3                    112.50              
138                  111111000                      504                            False      0                    112.50              
139                  111111001                      505                            False      2                    112.50              
140                  111111100                      508                            False      0                    112.50              
141                  111111110                      510                            False      0                    112.50              
142                  111111111                      511                            False      0                    112.50              
143                  1000000000                     512                            False      0                    125.00              
144                  1000000001                     513                            False      0                    125.00              
145                  1000000100                     516                            False      0                    125.00              
146                  1000000110                     518                            False      0                    125.00              
147                  1000000111                     519                            False      0                    125.00              
148                  1000010000                     528                            False      0                    125.00              
149                  1000010010                     530                            False      2                    125.00              
150                  1000010011                     531                            False      0                    125.00              
151                  1000011000                     536                            False      2                    125.00              
152                  1000011001                     537                            False      0                    125.00              
153                  1000011100                     540                            False      0                    125.00              
154                  1000011110                     542                            False      0                    125.00              
155                  1000011111                     543                            False      0                    125.00              
156                  1001000000                     576                            False      0                    125.00              
157                  1001000010                     578                            False      2                    125.00              
158                  1001000011                     579                            False      0                    125.00              
159                  1001001000                     584                            False      0                    125.00              
160                  1001001001                     585                            False      0                    125.00              
161                  1001001100                     588                            False      0                    125.00              
162                  1001001110                     590                            False      0                    125.00              
163                  1001001111                     591                            False      2                    125.00              
164                  1001100000                     608                            False      0                    125.00              
165                  1001100001                     609                            False      0                    125.00              
166                  1001100100                     612                            False      0                    125.00              
167                  1001100110                     614                            False      2                    125.00              
168                  1001100111                     615                            False      0                    125.00              
169                  1001110000                     624                            False      0                    125.00              
170                  1001110010                     626                            False      0                    125.00              
171                  1001110011                     627                            False      0                    125.00              
172                  1001111000                     632                            False      0                    125.00              
173                  1001111001                     633                            False      2                    125.00              
174                  1001111100                     636                            False      0                    125.00              
175                  1001111110                     638                            False      0                    125.00              
176                  1001111111                     639                            False      0                    125.00              
177                  1100000000                     768                            False      0                    125.00              
178                  1100000010                     770                            False      0                    125.00              
179                  1100000011                     771                            False      2                    125.00              
180                  1100001000                     776                            False      0                    125.00              
181                  1100001001                     777                            False      2                    125.00              
182                  1100001100                     780                            False      0                    125.00              
183                  1100001110                     782                            False      0                    125.00              
184                  1100001111                     783                            False      0                    125.00              
185                  1100100000                     800                            False      0                    125.00              
186                  1100100001                     801                            False      0                    125.00              
187                  1100100100                     804                            False      0                    125.00              
188                  1100100110                     806                            False      0                    125.00              
189                  1100100111                     807                            False      0                    125.00              
190                  1100110000                     816                            False      0                    125.00              
191                  1100110010                     818                            False      2                    125.00              
192                  1100110011                     819                            False      0                    125.00              
193                  1100111000                     824                            False      2                    125.00              
194                  1100111001                     825                            False      0                    125.00              
195                  1100111100                     828                            False      0                    125.00              
196                  1100111110                     830                            False      0                    125.00              
197                  1100111111                     831                            False      2                    125.00              
198                  1110000000                     896                            False      0                    125.00              
199                  1110000001                     897                            False      2                    125.00              
200                  1110000100                     900                            False      0                    125.00              
201                  1110000110                     902                            False      0                    125.00              
202                  1110000111                     903                            False      0                    125.00              
203                  1110010000                     912                            False      0                    125.00              
204                  1110010010                     914                            False      0                    125.00              
205                  1110010011                     915                            False      0                    125.00              
206                  1110011000                     920                            False      0                    125.00              
207                  1110011001                     921                            False      0                    125.00              
208                  1110011100                     924                            False      0                    125.00              
209                  1110011110                     926                            False      0                    125.00              
210                  1110011111                     927                            False      0                    125.00              
211                  1111000000                     960                            False      2                    125.00              
212                  1111000010                     962                            False      0                    125.00              
213                  1111000011                     963                            False      0                    125.00              
214                  1111001000                     968                            False      0                    125.00              
215                  1111001001                     969                            False      0                    125.00              
216                  1111001100                     972                            False      0                    125.00              
217                  1111001110                     974                            False      0                    125.00              
218                  1111001111                     975                            False      0                    125.00              
219                  1111100000                     992                            False      0                    125.00              
220                  1111100001                     993                            False      0                    125.00              
221                  1111100100                     996                            False      0                    125.00              
222                  1111100110                     998                            False      0                    125.00              
223                  1111100111                     999                            False      2                    125.00              
224                  1111110000                     1008                           False      0                    125.00              
225                  1111110010                     1010                           False      0                    125.00              
226                  1111110011                     1011                           False      0                    125.00              
227                  1111111000                     1016                           False      2                    125.00              
228                  1111111001                     1017                           False      0                    125.00              
229                  1111111100                     1020                           False      2                    125.00              
230                  1111111110                     1022                           False      0                    125.00              
231                  1111111111                     1023                           False      0                    125.00              
232                  10000000000                    1024                           False      0                    137.50              
233                  10000000010                    1026                           False      2                    137.50              
234                  10000000011                    1027                           False      0                    137.50              
235                  10000001000                    1032                           False      0                    137.50              
236                  10000001001                    1033                           True       1                    137.50              
237                  10000001100                    1036                           False      0                    137.50              
238                  10000001110                    1038                           False      0                    137.50              
239                  10000001111                    1039                           True       3                    137.50              
240                  10000100000                    1056                           False      0                    137.50              
241                  10000100001                    1057                           False      2                    137.50              
242                  10000100100                    1060                           False      0                    137.50              
243                  10000100110                    1062                           False      0                    137.50              
244                  10000100111                    1063                           True       1                    137.50              
245                  10000110000                    1072                           False      0                    137.50              
246                  10000110010                    1074                           False      0                    137.50              
247                  10000110011                    1075                           False      0                    137.50              
248                  10000111000                    1080                           False      0                    137.50              
249                  10000111001                    1081                           False      0                    137.50              
250                  10000111100                    1084                           False      0                    137.50              
251                  10000111110                    1086                           False      2                    137.50              
252                  10000111111                    1087                           True       1                    137.50              
253                  10010000000                    1152                           False      0                    137.50              
254                  10010000001                    1153                           True       1                    137.50              
255                  10010000100                    1156                           False      0                    137.50              
256                  10010000110                    1158                           False      0                    122.22              
257                  10010000111                    1159                           False      2                    122.22              
258                  10010010000                    1168                           False      0                    122.22              
259                  10010010010                    1170                           False      0                    122.22              
260                  10010010011                    1171                           True       1                    122.22              
261                  10010011000                    1176                           False      0                    122.22              
262                  10010011001                    1177                           False      0                    122.22              
263                  10010011100                    1180                           False      2                    122.22              
264                  10010011110                    1182                           False      0                    122.22              
265                  10010011111                    1183                           False      0                    122.22              
266                  10011000000                    1216                           False      0                    122.22              
267                  10011000010                    1218                           False      0                    122.22              
268                  10011000011                    1219                           False      0                    122.22              
269                  10011001000                    1224                           False      2                    122.22              
270                  10011001001                    1225                           False      0                    122.22              
271                  10011001100                    1228                           False      2                    122.22              
272                  10011001110                    1230                           False      0                    122.22              
273                  10011001111                    1231                           True       1                    122.22              
274                  10011100000                    1248                           False      0                    122.22              
275                  10011100001                    1249                           True       1                    122.22              
276                  10011100100                    1252                           False      0                    122.22              
277                  10011100110                    1254                           False      2                    122.22              
278                  10011100111                    1255                           False      0                    122.22              
279                  10011110000                    1264                           False      0                    122.22              
280                  10011110010                    1266                           False      0                    122.22              
281                  10011110011                    1267                           False      2                    122.22              
282                  10011111000                    1272                           False      0                    122.22              
283                  10011111001                    1273                           False      2                    122.22              
284                  10011111100                    1276                           False      0                    122.22              
285                  10011111110                    1278                           False      0                    122.22              
286                  10011111111                    1279                           True       1                    122.22              
287                  11000000000                    1536                           False      0                    122.22              
288                  11000000001                    1537                           False      0                    122.22              
289                  11000000100                    1540                           False      0                    122.22              
290                  11000000110                    1542                           False      0                    122.22              
291                  11000000111                    1543                           True       1                    122.22              
292                  11000010000                    1552                           False      0                    122.22              
293                  11000010010                    1554                           False      2                    122.22              
